Users,CPUs,Memory,Storage,Transfer,AWS,GCP ,Azure,DigitalOcean,PaperSpace,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
55,16,48 GB GDDR6,90GB,A5000x2,1778,,,,,,,,,,,,,,,,,,,,,
100,16,92 GB GDDR6,90GB,A6000x2,2433,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,CPUs,Memory,Storage,AWS,,,,,
,CPU,GPU Type,RAM,Instance Type,Series,Pricing per month,,,,,,,,,,,,1,1GB,25GB,8,,,,,
,,,,,,,,,,,,,,,,,,1,2GB,50GB,15,,,,,
3,1,NVIDIA TESLA P4,3.75GB,n1-standard-1,N1,628,,GCP,,,,,,,,,,2,4GB,80GB,31,,,,,
6,4,NVIDIA TESLA P4,15GB,n1-standard-4,N1,746,,,,,,,,,,,,2,8GB,25GB,71,,,,,
10,8,NVIDIA TESLA P4,30GB,n1-standard-8,N1,901,,,,,,,,,,,,2,4GB,25GB,63,,,,,
25,16,NVIDIA TESLA P4,60GB,n1-standard-16,N1,1214,,,,,,,,,,,,2,16GB,50GB,105,,,,,
,,,,,,,,,,,,,,,,,,4,8GB,160GB,62,,,,,
,,,,,,,,,,,,,,,,,,4,16GB,50GB,143,,,,,
,CPU,GPU Memory,RAM,Instance Type,Series,Pricing per month,,,,,,,,,,,,4,8GB,50GB,126,,,,,
,,,,,,,,,,,,,,,,,,4,32GB,100GB,211,,,,,
8,4,16GiB,28GB,NC4as_T4_v3,NCasT4_v3-series,383,,,,,,,,,,,,6,16GB,320GB,124,,,,,
12,6,12GB,56GB,NC6,NC,657,,Azure,,,,,,,,,,8,32GB,640GB,248,,,,,
15,8,16GiB,56GB,NC8as_T4_v3,NCasT4_v3-series,548,,,,,,,,,,,,8,32GB,100GB,286,,,,,
25,16,16GB,110GB,NC16as_T4_v3,NCasT4_v3-series,878,,,,,,,,,,,,8,16GB,100GB,253,,,,,
35,12,24GB,112GB,NC12,NC,1314,,,,,,,,,,,,8,64GB,200GB,422,,,,,
75,24,48GB,224GB,NC24,NC,2628,,,,,,,,,,,,12,48GB,960GB,571,,,,,
,,,,,,,,,,,,,,,,,,12,30GB,50GB,,,,,,
,,,,,,,,,,,,,,,,,,16,64GB,200GB,571,,,,,
,,,,,,,,,,,,,,,,,,16,32GB,200GB,506,,,,,
,,,,,,,,,,,,,,,,,,16,128GB,400GB,843,,,,,
,,,,,,,,,,,,,,,,,,32,128GB,400GB,1714,,,,,
